scenario,measure,year,median,mean,ci_lower,ci_upper,alloc_strategy
allDistrict_who030718_v2,cases,2018,155965.13731950006,156003.65234213136,154075.57896503358,158662.176549185,allDistrict
allDistrict_who030718_v2,cases,2019,159506.0378176581,159544.4640269901,157568.64535385146,162264.97678300663,allDistrict
allDistrict_who030718_v2,cases,2020,163232.86915218673,163271.1254116151,161245.0820867565,166056.8846672476,allDistrict
allDistrict_who030718_v2,cases,2021,167190.37712614052,167228.3571550522,165149.0527414952,170083.38690601004,allDistrict
allDistrict_who030718_v2,cases,2022,171429.15203780826,171466.72240586605,169330.48968689423,174395.91471900974,allDistrict
allDistrict_who030718_v2,cases,2023,176073.4318967592,176110.39229548757,173912.0244442262,179120.76363306536,allDistrict
allDistrict_who030718_v2,cases,2024,180866.6633143801,180902.98409964633,178640.35272004397,183997.18305513094,allDistrict
allDistrict_who030718_v2,cases,2025,185812.1522075444,185848.95958556118,183518.66493082652,189029.71694900544,allDistrict
allDistrict_who030718_v2,cases,2026,190915.62848247186,190952.91953707556,188552.67412391226,194223.04883887363,allDistrict
allDistrict_who030718_v2,cases,2027,196181.8359086311,196219.609522483,193747.05042324142,199582.01240375638,allDistrict
allDistrict_who030718_v2,cases,2028,201615.67084198876,201653.92400737008,199106.61384729575,205111.5900844512,allDistrict
allDistrict_who030718_v2,cases,2029,207222.17743970553,207260.9086879766,204636.33051730733,210816.91996163802,allDistrict
allDistrict_who030718_v2,cases,2030,213006.56125669586,213045.7681523548,210341.3217081336,216703.30180854007,allDistrict
allDistrict_who030718_v2,cases,2031,221670.84947448975,221708.79781398672,218886.3180772579,225517.4828199963,allDistrict
allDistrict_who030718_v2,cases,2032,230289.05630382412,230327.49355025953,227386.9275493173,234286.72653211013,allDistrict
allDistrict_who030718_v2,cases,2033,238790.64991648935,238830.07858085624,235772.27853791337,242938.02604252612,allDistrict
allDistrict_who030718_v2,cases,2034,247093.29149769817,247134.09095819015,243960.93176145357,251387.5060509453,allDistrict
allDistrict_who030718_v2,cases,2035,255132.5793003804,255175.1793794274,251889.33156815614,259569.7118603412,allDistrict
allDistrict_who030718_v2,cases_cf,2018,156990.30655965395,157028.2881428084,155087.62563293867,159704.29539925646,allDistrict
allDistrict_who030718_v2,cases_cf,2019,161521.97546576947,161559.34263481837,159558.73965084984,164314.2468569085,allDistrict
allDistrict_who030718_v2,cases_cf,2020,166186.77106887058,166223.45901513819,164161.05486831316,169059.6301409517,allDistrict
allDistrict_who030718_v2,cases_cf,2021,170988.67900838162,171024.619500972,168898.49534771807,173944.4996682187,allDistrict
allDistrict_who030718_v2,cases_cf,2022,175931.80715170014,175966.9283750369,173775.10576377533,178973.03389662216,allDistrict
allDistrict_who030718_v2,cases_cf,2023,181020.38905661512,181054.61598901558,178795.054771143,184149.5400952747,allDistrict
allDistrict_who030718_v2,cases_cf,2024,186258.78734482476,186292.0407928744,183962.63691573215,189478.4560907594,allDistrict
allDistrict_who030718_v2,cases_cf,2025,191650.5585026312,191683.69516557505,189281.59116574712,194964.35606014164,allDistrict
allDistrict_who030718_v2,cases_cf,2026,197200.88090370776,197234.20814107746,194756.46182598287,200611.95346905754,allDistrict
allDistrict_who030718_v2,cases_cf,2027,202914.83743755837,202948.3512476482,200392.56143515385,206426.10680523148,allDistrict
allDistrict_who030718_v2,cases_cf,2028,208797.34662781033,208831.0427465118,206194.7315891929,212411.82396756465,allDistrict
allDistrict_who030718_v2,cases_cf,2029,214853.47535499214,214887.35013172435,212167.9610245994,218574.26464928195,allDistrict
allDistrict_who030718_v2,cases_cf,2030,221088.44862062854,221122.4979158848,218316.99228313955,224918.74947510083,allDistrict
allDistrict_who030718_v2,cases_cf,2031,227507.6503182679,227541.8703122947,224646.3159242099,231450.75977355108,allDistrict
allDistrict_who030718_v2,cases_cf,2032,234115.0953447814,234151.01612877092,231162.49963396465,238175.9459841226,allDistrict
allDistrict_who030718_v2,cases_cf,2033,240917.62102464,240955.65523150522,237871.16835635767,245100.13369745336,allDistrict
allDistrict_who030718_v2,cases_cf,2034,247921.42526664643,247961.68417908857,244778.120887442,252229.3267196785,allDistrict
allDistrict_who030718_v2,cases_cf,2035,255132.57969603006,255175.1794000566,251889.33170520476,259569.71223755713,allDistrict
allDistrict_who030718_v2,casesAverted,2018,1025.169240153884,1024.6358006770495,1012.0437620764477,1042.1188500714256,allDistrict
allDistrict_who030718_v2,casesAverted,2019,2015.9376481113609,2014.878607828246,1990.0886862077068,2049.2700739018373,allDistrict
allDistrict_who030718_v2,casesAverted,2020,2953.901916683862,2952.333603523111,2915.964782480731,3002.7454737041053,allDistrict
allDistrict_who030718_v2,casesAverted,2021,3798.3018822410804,3796.262345919822,3749.4326773590396,3861.1127622086387,allDistrict
allDistrict_who030718_v2,casesAverted,2022,4502.655113891907,4500.205969170845,4444.604786361883,4577.1191776124415,allDistrict
allDistrict_who030718_v2,casesAverted,2023,4946.957159855923,4944.223693527988,4882.999855050626,5028.776462209287,allDistrict
allDistrict_who030718_v2,casesAverted,2024,5392.082628435896,5389.056693228084,5322.1713450167335,5481.273035628475,allDistrict
allDistrict_who030718_v2,casesAverted,2025,5838.062168819081,5834.735580013857,5762.152733658914,5934.639111136223,allDistrict
allDistrict_who030718_v2,casesAverted,2026,6284.92374307554,6281.288604001886,6202.972973557491,6388.904630183927,allDistrict
allDistrict_who030718_v2,casesAverted,2027,6732.693552188236,6728.741725165193,6644.656816059452,6844.0944014751,allDistrict
allDistrict_who030718_v2,casesAverted,2028,7181.395805314234,7177.118739141758,7087.2273527709995,7300.23388311345,allDistrict
allDistrict_who030718_v2,casesAverted,2029,7631.052300456986,7626.441443747751,7530.679901358212,7757.344687643895,allDistrict
allDistrict_who030718_v2,casesAverted,2030,8081.6823073523,8076.729763530011,7975.042172388184,8215.447666560733,allDistrict
allDistrict_who030718_v2,casesAverted,2031,5836.666331704873,5833.072498307971,5759.565681371491,5933.276953554798,allDistrict
allDistrict_who030718_v2,casesAverted,2032,3825.889831471161,3823.522578511379,3775.2945623354617,3889.219452012445,allDistrict
allDistrict_who030718_v2,casesAverted,2033,2126.8993534301185,2125.5766506489963,2098.738999400297,2162.1076549272507,allDistrict
allDistrict_who030718_v2,casesAverted,2034,828.1111359883882,827.593220898426,817.1316282487838,841.8206687332284,allDistrict
allDistrict_who030718_v2,casesAverted,2035,9.804776106903113e-6,2.062919814990005e-5,-5.578042257773947e-4,5.955208469151041e-4,allDistrict
allDistrict_who030718_v2,dalysAverted,2018,937.6106436141525,936.3292272045247,929.7645765191188,944.674966156302,allDistrict
allDistrict_who030718_v2,dalysAverted,2019,1843.4312460234478,1840.914294326221,1828.0208153181916,1857.3458797998019,allDistrict
allDistrict_who030718_v2,dalysAverted,2020,2700.6041872439764,2696.9208528399736,2677.992910267756,2721.0296431732445,allDistrict
allDistrict_who030718_v2,dalysAverted,2021,3539.1939284680107,3536.2471911090656,3512.864981131451,3568.4929605754382,allDistrict
allDistrict_who030718_v2,dalysAverted,2022,4194.47368958999,4191.063636176146,4163.266561556635,4229.422467558427,allDistrict
allDistrict_who030718_v2,dalysAverted,2023,4606.968426106721,4603.334764020129,4572.662449419377,4645.574412269427,allDistrict
allDistrict_who030718_v2,dalysAverted,2024,5019.965036986618,5016.128498560022,4982.513563910045,5062.239547338749,allDistrict
allDistrict_who030718_v2,dalysAverted,2025,5433.4884058278,5429.470300913992,5392.876550993103,5479.469682768273,allDistrict
allDistrict_who030718_v2,dalysAverted,2026,6373.249073684742,6373.319738533095,6327.212051002625,6444.448880515284,allDistrict
allDistrict_who030718_v2,dalysAverted,2027,6825.970008937638,6826.0320574021725,6776.407842443439,6902.485744601409,allDistrict
allDistrict_who030718_v2,dalysAverted,2028,7279.422179223629,7279.491700688801,7226.313815723247,7361.16921334342,allDistrict
allDistrict_who030718_v2,dalysAverted,2029,7733.639431623903,7733.7171312040255,7676.945886603733,7820.612566929639,allDistrict
allDistrict_who030718_v2,dalysAverted,2030,8188.622229996534,8188.724851538507,8128.321432245591,8280.861955517721,allDistrict
allDistrict_who030718_v2,dalysAverted,2031,6742.648233095338,6743.263620735627,6687.642933568213,6826.423177202288,allDistrict
allDistrict_who030718_v2,dalysAverted,2032,4419.416429565985,4419.8557017560515,4383.346142130754,4474.406936975383,allDistrict
allDistrict_who030718_v2,dalysAverted,2033,2456.654118159525,2456.920038543529,2436.592872398902,2487.270528045067,allDistrict
allDistrict_who030718_v2,dalysAverted,2034,956.4101503466586,956.5195193157008,948.5910197018147,968.3483595848786,allDistrict
allDistrict_who030718_v2,dalysAverted,2035,1.4968578185837755e-5,2.8343456584038565e-5,-6.393514852286904e-4,6.988147972843422e-4,allDistrict
allDistrict_who030718_v2,deathsAverted,2018,42.65714463047135,42.71719147654561,42.32714453503529,43.357124005265796,allDistrict
allDistrict_who030718_v2,deathsAverted,2019,83.87325417452716,83.99094656512342,83.22195826350293,85.25110655188888,allDistrict
allDistrict_who030718_v2,deathsAverted,2020,122.88141913423999,123.05356922177961,121.92377766199552,124.90285666905861,allDistrict
allDistrict_who030718_v2,deathsAverted,2021,157.98525191343165,158.20619353092872,156.74974448311517,160.58808865509206,allDistrict
allDistrict_who030718_v2,deathsAverted,2022,187.2506733100718,187.5120177686289,185.78046635263433,190.34096341371654,allDistrict
allDistrict_who030718_v2,deathsAverted,2023,205.68508612898827,205.97141165155497,204.06222233199145,209.08665264665262,allDistrict
allDistrict_who030718_v2,deathsAverted,2024,224.14581021012833,224.45663547733994,222.36830316111235,227.85672030431687,allDistrict
allDistrict_who030718_v2,deathsAverted,2025,242.63362492673926,242.96880752559474,240.69977900680047,246.6523083263272,allDistrict
allDistrict_who030718_v2,deathsAverted,2026,261.1495469998288,261.50894369229974,259.0565706054997,265.4767877382827,allDistrict
allDistrict_who030718_v2,deathsAverted,2027,279.6945182658792,280.07796432710757,277.43860756988965,284.33101103117804,allDistrict
