scenario,measure,year,median,mean,ci_lower,ci_upper,alloc_strategy
allDistrict_who030718_v2,cases,2018,155965.1373736271,156003.6523360092,154075.57883551353,158662.176540738,allDistrict
allDistrict_who030718_v2,cases,2019,159503.87928802415,159542.3066035461,157566.51410886424,162262.7827237595,allDistrict
allDistrict_who030718_v2,cases,2020,163226.89036165387,163265.14946996636,161239.17963555802,166050.80671162496,allDistrict
allDistrict_who030718_v2,cases,2021,167179.6979869487,167217.68372807195,165138.51085691043,170072.53156124472,allDistrict
allDistrict_who030718_v2,cases,2022,171414.0358384362,171451.61434073208,169315.56749130465,174380.54886272017,allDistrict
allDistrict_who030718_v2,cases,2023,176056.6402602731,176093.60978396106,173895.4492605907,179103.69417079006,allDistrict
allDistrict_who030718_v2,cases,2024,180848.19325806788,180884.52561851795,178622.12014477173,183978.40899103848,allDistrict
allDistrict_who030718_v2,cases,2025,185792.00345094394,185828.82326013892,183498.77560724152,189009.2359561553,allDistrict
allDistrict_who030718_v2,cases,2026,190893.79811404366,190931.10322523097,188531.12581517897,194200.859473705,allDistrict
allDistrict_who030718_v2,cases,2027,196158.322451217,196196.11082161905,193723.84172087946,199558.11130938111,allDistrict
allDistrict_who030718_v2,cases,2028,201590.47099193535,201628.74024691572,199081.7412202478,205085.97483501578,allDistrict
allDistrict_who030718_v2,cases,2029,207195.28867737897,207234.03697647754,204609.79136366246,210789.58730058602,allDistrict
allDistrict_who030718_v2,cases,2030,212977.98046805995,213017.2054090457,210313.1139512149,216674.24881640836,allDistrict
allDistrict_who030718_v2,cases,2031,221640.23495223402,221678.20278214774,218856.10614824665,225486.36252990994,allDistrict
allDistrict_who030718_v2,cases,2032,230262.33633573994,230300.79151019154,227360.56021319467,234259.5655116092,allDistrict
allDistrict_who030718_v2,cases,2033,238772.10610661132,238811.5467734328,235753.97890580702,242919.17603635704,allDistrict
allDistrict_who030718_v2,cases,2034,247084.77507390146,247125.58009152237,243952.52824540707,251378.84912875135,allDistrict
allDistrict_who030718_v2,cases,2035,255132.57969603006,255175.1794000566,251889.33170520476,259569.71223755713,allDistrict
allDistrict_who030718_v2,cases_cf,2018,156990.30655965395,157028.2881428084,155087.62563293867,159704.29539925646,allDistrict
allDistrict_who030718_v2,cases_cf,2019,161521.97546576947,161559.34263481837,159558.73965084984,164314.2468569085,allDistrict
allDistrict_who030718_v2,cases_cf,2020,166186.77106887058,166223.45901513819,164161.05486831316,169059.6301409517,allDistrict
allDistrict_who030718_v2,cases_cf,2021,170988.67900838162,171024.619500972,168898.49534771807,173944.4996682187,allDistrict
allDistrict_who030718_v2,cases_cf,2022,175931.80715170014,175966.9283750369,173775.10576377533,178973.03389662216,allDistrict
allDistrict_who030718_v2,cases_cf,2023,181020.38905661512,181054.61598901558,178795.054771143,184149.5400952747,allDistrict
allDistrict_who030718_v2,cases_cf,2024,186258.78734482476,186292.0407928744,183962.63691573215,189478.4560907594,allDistrict
allDistrict_who030718_v2,cases_cf,2025,191650.5585026312,191683.69516557505,189281.59116574712,194964.35606014164,allDistrict
allDistrict_who030718_v2,cases_cf,2026,197200.88090370776,197234.20814107746,194756.46182598287,200611.95346905754,allDistrict
allDistrict_who030718_v2,cases_cf,2027,202914.83743755837,202948.3512476482,200392.56143515385,206426.10680523148,allDistrict
allDistrict_who030718_v2,cases_cf,2028,208797.34662781033,208831.0427465118,206194.7315891929,212411.82396756465,allDistrict
allDistrict_who030718_v2,cases_cf,2029,214853.47535499214,214887.35013172435,212167.9610245994,218574.26464928195,allDistrict
allDistrict_who030718_v2,cases_cf,2030,221088.44862062854,221122.4979158848,218316.99228313955,224918.74947510083,allDistrict
allDistrict_who030718_v2,cases_cf,2031,227507.6503182679,227541.8703122947,224646.3159242099,231450.75977355108,allDistrict
allDistrict_who030718_v2,cases_cf,2032,234115.0953447814,234151.01612877092,231162.49963396465,238175.9459841226,allDistrict
allDistrict_who030718_v2,cases_cf,2033,240917.62102464,240955.65523150522,237871.16835635767,245100.13369745336,allDistrict
allDistrict_who030718_v2,cases_cf,2034,247921.42526664643,247961.68417908857,244778.120887442,252229.3267196785,allDistrict
allDistrict_who030718_v2,cases_cf,2035,255132.57969603006,255175.1794000566,251889.33170520476,259569.71223755713,allDistrict
allDistrict_who030718_v2,casesAverted,2018,1025.1691860268188,1024.6358067992044,1012.043899645035,1042.118858518466,allDistrict
allDistrict_who030718_v2,casesAverted,2019,2018.0961777452856,2017.036031272267,1992.2199232324606,2051.464133148981,allDistrict
allDistrict_who030718_v2,casesAverted,2020,2959.880707216718,2958.309545171836,2921.8672236487655,3008.8234293267255,allDistrict
allDistrict_who030718_v2,casesAverted,2021,3808.981021432911,3806.9357729000876,3759.9745424458606,3871.9681069739786,allDistrict
allDistrict_who030718_v2,casesAverted,2022,4517.771313263962,4515.314034304805,4459.526951826956,4592.485033901985,allDistrict
allDistrict_who030718_v2,casesAverted,2023,4963.748796342032,4961.006205054498,4899.575107432513,5045.845924484598,allDistrict
allDistrict_who030718_v2,casesAverted,2024,5410.551252577026,5407.515174356477,5340.401413154798,5500.047099720946,allDistrict
allDistrict_who030718_v2,casesAverted,2025,5858.209660677729,5854.871905436117,5782.039637350109,5955.120103986363,allDistrict
allDistrict_who030718_v2,casesAverted,2026,6306.752556467232,6303.104915846481,6224.5179723084875,6411.093995352587,allDistrict
allDistrict_who030718_v2,casesAverted,2027,6756.206177065385,6752.240426029149,6667.862337419938,6867.995495850392,allDistrict
allDistrict_who030718_v2,casesAverted,2028,7206.59460575175,7202.302499596087,7112.096523801729,7325.849132548894,allDistrict
allDistrict_who030718_v2,casesAverted,2029,7657.93987386596,7653.313155246795,7557.215248511975,7784.677348695909,allDistrict
allDistrict_who030718_v2,casesAverted,2030,8110.262115735916,8105.292506839093,8003.246282322435,8244.500658692488,allDistrict
